"Year","Month","Return","CPI_Rate","CPI_adjReturn","CPIC_Rate","CPIC_adjReturn","PPI_Rate","PPI_adjReturn"
1926,1,0.022472,0,0.022472,NA,NA,-0.916666666666667,11.269664
1926,2,-0.043956,0,-0.043956,NA,NA,1,-0.521978
1926,3,-0.059113,-0.00558659217877083,-0.0538271179775283,NA,NA,0.5,-0.372742
1926,4,0.022688,0.00561797752808977,0.0169746592178772,NA,NA,0.333333333333333,-0.232984
1926,5,0.007679,-0.00558659217877083,0.0133401179775279,NA,NA,0.25,-0.1938568
1926,6,0.043184,-0.00561797752808997,0.0490776949152545,NA,NA,0.2,-0.13068
1926,7,0.045455,-0.0112994350282485,0.0574030571428572,NA,NA,0.166666666666667,-0.103895714285714
1926,8,0.017081,-0.0057142857142858,0.0229262931034482,NA,NA,0.142857142857143,-0.110054125
1926,9,0.022901,0.00574712643678169,0.0170558514285715,NA,NA,0.125,-0.0907546666666667
1926,10,-0.031343,0.0057142857142858,-0.0368467329545455,NA,NA,0.111111111111111,-0.1282087
1926,11,0.022342,0.00568181818181806,0.0165660564971752,NA,NA,0.1,-0.0705981818181818
1926,12,0.016579,0,0.0165789999999999,NA,NA,0.0909090909090909,-0.0681359166666667
1927,1,-0.020756,-0.0112994350282485,-0.00956464000000001,NA,NA,-0.916666666666667,10.750928
1927,2,0.047691,-0.0057142857142858,0.0537122126436782,NA,NA,1,-0.4761545
1927,3,0.006503,-0.00574712643678149,0.0123209364161847,NA,NA,0.5,-0.328998
1927,4,0.017229,0,0.0172289999999999,NA,NA,0.333333333333333,-0.23707825
1927,5,0.052223,0.00578034682080913,0.0461757413793105,NA,NA,0.25,-0.1582216
1927,6,-0.00939,0.0114942528735634,-0.0206469318181819,NA,NA,0.2,-0.174491666666667
1927,7,0.064997,-0.0170454545454546,0.0834651560693642,NA,NA,0.166666666666667,-0.0871454285714287
1927,8,0.044501,-0.00578034682080933,0.050573680232558,NA,NA,0.142857142857143,-0.086061625
1927,9,0.043214,0.00581395348837218,0.0371838612716764,NA,NA,0.125,-0.0726986666666666
1927,10,-0.053092,0.00578034682080913,-0.0585339999999999,NA,NA,0.111111111111111,-0.1477828
1927,11,0.067776,-0.00574712643678149,0.0739481156069364,NA,NA,0.1,-0.0292945454545455
1927,12,0.019042,0,0.019042,NA,NA,0.0909090909090909,-0.0658781666666666
1928,1,-0.005096,0,-0.00509599999999999,NA,NA,-0.916666666666667,10.938848
1928,2,-0.017644,-0.0115606936416185,-0.00615445614035093,NA,NA,1,-0.508822
1928,3,0.108343,0,0.108343,NA,NA,0.5,-0.261104666666667
1928,4,0.03241,0,0.03241,NA,NA,0.333333333333333,-0.2256925
1928,5,0.012658,0.00584795321637414,0.00677045348837213,NA,NA,0.25,-0.1898736
1928,6,-0.0405,-0.00581395348837197,-0.034888888888889,NA,NA,0.2,-0.200416666666667
1928,7,0.012507,0,0.012507,NA,NA,0.166666666666667,-0.132136857142857
1928,8,0.074112,0,0.074112,NA,NA,0.142857142857143,-0.060152
1928,9,0.023958,0.0116959064327485,0.0121203352601156,NA,NA,0.125,-0.0898151111111112
1928,10,0.014506,-0.00578034682080933,0.0204042906976745,NA,NA,0.111111111111111,-0.0869446000000001
1928,11,0.119926,0,0.119926,NA,NA,0.1,0.0181145454545453
1928,12,0.002883,-0.00581395348837197,0.00874781286549697,NA,NA,0.0909090909090909,-0.0806905833333333
1929,1,0.057084,0,0.0570839999999999,NA,NA,-0.916666666666667,11.685008
1929,2,-0.005828,0,-0.00582799999999994,NA,NA,1,-0.502914
1929,3,-0.002345,-0.00584795321637435,0.00352355882352939,NA,NA,0.5,-0.334896666666667
1929,4,0.01606,-0.00588235294117655,0.0220721893491125,NA,NA,0.333333333333333,-0.237955
1929,5,-0.042791,0.00591715976331369,-0.0484216411764706,NA,NA,0.25,-0.2342328
1929,6,0.112364,0.00588235294117655,0.105858947368421,NA,NA,0.2,-0.07303
1929,7,0.045619,0.0116959064327485,0.0335309190751447,NA,NA,0.166666666666667,-0.103755142857143
1929,8,0.097992,0,0.0979920000000001,NA,NA,0.142857142857143,-0.0392569999999999
1929,9,-0.04888,0,-0.04888,NA,NA,0.125,-0.15456
1929,10,-0.199271,0,-0.199271,NA,NA,0.111111111111111,-0.2793439
1929,11,-0.133747,0,-0.133747,NA,NA,0.1,-0.212497272727273
1929,12,0.025335,-0.00578034682080933,0.0312962500000002,NA,NA,0.0909090909090909,-0.0601095833333332
1930,1,0.062471,-0.00581395348837197,0.0686842807017543,NA,NA,-0.916666666666667,11.749652
1930,2,0.021501,-0.00584795321637435,0.0275098294117648,NA,NA,1,-0.4892495
1930,3,0.079897,-0.00588235294117655,0.086286923076923,NA,NA,0.5,-0.280068666666667
1930,4,-0.009547,0.00591715976331369,-0.015373194117647,NA,NA,0.333333333333333,-0.25716025
1930,5,-0.016466,-0.00588235294117655,-0.010646272189349,NA,NA,0.25,-0.2131728
1930,6,-0.164557,-0.00591715976331348,-0.159584125,NA,NA,0.2,-0.3037975
1930,7,0.036657,-0.0119047619047619,0.0491468433734938,NA,NA,0.166666666666667,-0.111436857142857
1930,8,0.007544,-0.00602409638554225,0.0136503272727273,NA,NA,0.142857142857143,-0.118399
1930,9,-0.130089,0.00606060606060615,-0.135329427710843,NA,NA,0.125,-0.226745777777778
1930,10,-0.088757,-0.00602409638554225,-0.083234315151515,NA,NA,0.111111111111111,-0.1798813
1930,11,-0.021842,-0.00606060606060615,-0.0158776219512196,NA,NA,0.1,-0.110765454545455
1930,12,-0.074231,-0.0182926829268291,-0.0569806459627331,NA,NA,0.0909090909090909,-0.151378416666667
1931,1,0.048892,-0.0124223602484473,0.062085610062893,NA,NA,-0.916666666666667,11.586704
1931,2,0.114357,-0.0125786163522013,0.128552630573249,NA,NA,1,-0.4428215
1931,3,-0.069158,-0.00636942675159233,-0.0631910641025641,NA,NA,0.5,-0.379438666666667
1931,4,-0.095866,-0.00641025641025639,-0.0900328774193548,NA,NA,0.333333333333333,-0.3218995
1931,5,-0.137177,-0.0129032258064516,-0.125898267973856,NA,NA,0.25,-0.3097416
1931,6,0.139017,-0.0130718954248367,0.154103317880795,NA,NA,0.2,-0.0508191666666666
1931,7,-0.074174,0,-0.074174,NA,NA,0.166666666666667,-0.206434857142857
